pri_rank,port_id,port_name,country_name,iso2,iso3,latitude,longitude,pri_score,risk_tier,data_tier,n_dims,dims_used,dim_cv,cv_flag,d1_score,d1_tier,score_1_1,score_1_2,score_1_3,score_1_4,ctrl_depth_final,vessel_class_count,terminal_count,cyclone_passes,pga_g,d2_score,d2_tier,score_2_1,score_2_2,score_2_3,score_2_4,lpi_score,dwell_hours,labour_regime,d3_score,d3_tier,score_3_1,score_3_2,score_3_3,score_3_4,catchment_share_pct,hinterland_count,herfindahl,alt_distance_km,d4_score,d4_tier,score_4_1,score_4_2,score_4_3,score_4_4,wgi_ps,wgi_ge,sanctions_level,dispute_level,catchment_share_source,herfindahl_source,pga_source,cppi_2024_score,cppi_2024_rank,dwell_source_tier
1,48190.0,Aden,Yemen,YE,YEM,12.783333,44.95,3.5279,Critical,B,4,D1|D2|D3|D4,0.5406,False,1.166,A,2.5,4.286,0.0,1.725,16.0,3,4,0,0.069,6.6511,A,7.0,6.923,5.0,8.5,2.2,120.0,uncertain,3.0278,A,10.0,2.0,5.5,0.764,55.0,1,0.55,237.3,6.597,A,10.7,8.44,3.0,10.0,-2.85,-1.72,sdn_adjacent,active_military,proxy_harbor_size,proxy_terminal_count,gshap_real,-24.0,323.0,existing
2,62670.0,Tiksi,Russia,RU,RUS,71.644444444,128.890555556,3.3555,Critical,B,4,D1|D2|D3|D4,0.4141,False,2.451,A,10.0,7.143,0.0,5.055,6.4,0,2,0,0.2022,5.5769,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,4.7733,A,5.455,2.0,8.0,5.948,12.0,1,0.8,1507.3,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
3,10420.0,Media Luna,Cuba,CU,CUB,20.15,-77.433333,3.2808,Critical,B,4,D1|D2|D3|D4,0.5633,False,6.642,A,7.5,8.571,5.0,6.057,9.4,1,1,6,0.2423,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,14.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
4,10430.0,Ceiba Hueca,Cuba,CU,CUB,20.216667,-77.31666699999998,3.2754,Critical,B,4,D1|D2|D3|D4,0.5616,False,6.598,A,7.5,8.571,5.0,5.897,9.4,1,1,6,0.2359,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,14.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
5,10210.0,Banes,Cuba,CU,CUB,20.916666667,-75.716666667,3.2627,Critical,B,4,D1|D2|D3|D4,0.5575,False,6.496,A,10.0,8.571,4.167,4.985,7.0,0,1,5,0.1994,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,9.4,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
6,10460.0,Manzanillo,Cuba,CU,CUB,20.35,-77.116667,3.2295,Critical,B,4,D1|D2|D3|D4,0.5474,False,6.236,A,7.5,8.571,4.167,5.645,9.4,1,1,5,0.2258,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,25.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
7,10240.0,Preston,Cuba,CU,CUB,20.766666667,-75.65,3.226,Critical,B,4,D1|D2|D3|D4,0.5464,False,6.209,A,7.5,8.571,4.167,5.547,8.0,1,1,5,0.2219,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,6.4,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
8,10550.0,Nueva Gerona,Cuba,CU,CUB,21.916667,-82.79999999999998,3.2135,Critical,B,4,D1|D2|D3|D4,0.4548,False,4.726,A,10.0,8.571,4.167,1.397,6.4,0,1,5,0.0559,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,2.2234,A,5.455,2.0,8.0,0.28,12.0,1,0.8,118.7,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
9,10190.0,Vita,Cuba,CU,CUB,21.1,-75.966666667,3.1666,Critical,B,4,D1|D2|D3|D4,0.5307,False,5.764,A,7.5,8.571,4.167,4.12,9.0,1,1,5,0.1648,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,38.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
10,10370.0,Santiago De Cuba,Cuba,CU,CUB,20.016667,-75.83333299999998,3.1607,Critical,B,4,D1|D2|D3|D4,0.5293,False,5.721,A,7.5,4.286,3.333,10.0,11.0,1,4,4,0.4002,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.095,12.0,1,0.8,73.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
11,10500.0,Jucaro,Cuba,CU,CUB,21.616667,-78.84999999999998,3.16,Critical,B,4,D1|D2|D3|D4,0.4515,False,4.427,A,7.5,8.571,2.5,2.39,9.4,1,1,3,0.0956,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,2.2194,A,5.455,2.0,8.0,0.278,12.0,1,0.8,118.0,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
12,10140.0,Caibarien,Cuba,CU,CUB,22.533333333,-79.466666667,3.1284,Critical,B,4,D1|D2|D3|D4,0.466,False,4.545,A,10.0,8.571,2.5,1.992,7.0,0,1,3,0.0797,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,2.0765,A,5.455,2.0,8.0,0.213,12.0,1,0.8,102.1,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
13,62630.0,Nikol Skoye,Russia,RU,RUS,55.2,165.983333,3.1225,Critical,B,4,D1|D2|D3|D4,0.4136,False,2.421,A,5.0,8.571,0.0,8.012,12.5,2,1,0,0.3205,5.5769,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,3.6239,A,5.455,2.0,8.0,1.976,12.0,1,0.8,534.0,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
14,10250.0,Felton,Cuba,CU,CUB,20.733333,-75.59999999999998,3.1218,Critical,B,4,D1|D2|D3|D4,0.5208,False,5.445,A,5.0,7.143,4.167,5.907,13.0,2,2,5,0.2363,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,5.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
15,10160.0,Puerto Padre,Cuba,CU,CUB,21.283333,-76.533333,3.0485,Critical,B,4,D1|D2|D3|D4,0.5088,False,4.951,A,7.5,7.143,3.333,3.365,9.1,1,2,4,0.1346,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,30.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
16,10290.0,Baracoa,Cuba,CU,CUB,20.35,-74.5,3.0418,Critical,B,4,D1|D2|D3|D4,0.5079,False,4.908,A,10.0,8.571,1.667,4.062,7.0,0,1,2,0.1625,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.018,12.0,1,0.8,54.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
17,10480.0,Santa Cruz del Sur,Cuba,CU,CUB,20.7,-77.983333333,3.0303,Critical,B,4,D1|D2|D3|D4,0.5066,False,4.834,A,10.0,8.571,1.667,3.822,5.0,0,1,2,0.1529,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,38.1,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
18,10130.0,Isabela De Sagua,Cuba,CU,CUB,22.95,-80.0,3.0253,Critical,B,4,D1|D2|D3|D4,0.466,False,4.013,A,10.0,7.143,2.5,1.452,6.9,0,2,3,0.0581,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,2.0567,A,5.455,2.0,8.0,0.205,12.0,1,0.8,100.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
19,10505.0,Palo Alto,Cuba,CU,CUB,21.583333333,-78.966666667,3.0243,Critical,B,4,D1|D2|D3|D4,0.5059,False,4.796,A,10.0,8.571,2.5,2.47,6.7,0,1,3,0.0988,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,12.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
20,12275.0,Puerto De Hierro,Venezuela,VE,VEN,10.633333,-62.1,3.024,Critical,B,4,D1|D2|D3|D4,0.5519,False,4.748,A,10.0,7.143,0.833,8.543,6.4,0,2,1,0.3417,6.2439,A,6.5,6.474,5.0,7.52,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,23.1,1.641,A,6.9,7.84,6.0,0.0,-0.95,-1.42,sectoral,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
21,10260.0,Nicaro,Cuba,CU,CUB,20.716667,-75.54999999999998,2.9808,High,B,4,D1|D2|D3|D4,0.5024,False,4.526,A,2.5,7.143,4.167,5.637,14.0,3,2,5,0.2255,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,5.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
22,9769.0,El Bluff,Nicaragua,NI,NIC,12.0,-83.7,2.9628,High,B,4,D1|D2|D3|D4,0.4478,False,4.961,A,10.0,8.571,1.667,4.24,6.4,0,1,2,0.1696,4.6688,A,6.25,6.282,5.0,3.24,2.5,110.0,uncertain,2.8146,A,5.455,2.0,8.0,0.719,12.0,1,0.8,226.2,1.182,A,6.04,4.96,3.0,0.0,-0.52,0.02,sdn_adjacent,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
23,45003.0,Tartus,Syria,SY,SYR,34.9,35.866667,2.9595,High,B,4,D1|D2|D3|D4,0.8005,False,0.859,A,0.0,7.143,0.0,7.627,21.6,4,2,0,0.3051,5.2744,A,7.0,6.987,5.0,4.2,2.2,121.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,32.8,9.851,A,10.56,8.56,10.0,10.0,-2.78,-1.78,comprehensive,active_military,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
24,10470.0,Guayabal,Cuba,CU,CUB,20.7,-77.616667,2.9543,High,B,4,D1|D2|D3|D4,0.5011,False,4.367,A,5.0,7.143,2.5,4.072,12.5,2,2,3,0.1629,5.6729,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.7188,A,5.455,2.0,8.0,0.05,12.0,1,0.8,62.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
25,9760.0,Puerto Cabezas,Nicaragua,NI,NIC,14.016667,-83.38333299999998,2.9477,High,B,4,D1|D2|D3|D4,0.4355,False,4.749,A,7.5,8.571,3.333,2.373,10.0,1,1,4,0.0949,4.6688,A,6.25,6.282,5.0,3.24,2.5,110.0,uncertain,2.8807,A,5.455,2.0,8.0,0.789,12.0,1,0.8,243.3,1.182,A,6.04,4.96,3.0,0.0,-0.52,0.02,sdn_adjacent,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
