pri_rank,port_id,port_name,country_name,iso2,iso3,latitude,longitude,pri_score,risk_tier,data_tier,n_dims,dims_used,dim_cv,cv_flag,d1_score,d1_tier,score_1_1,score_1_2,score_1_3,score_1_4,ctrl_depth_final,vessel_class_count,terminal_count,cyclone_passes,pga_g,d2_score,d2_tier,score_2_1,score_2_2,score_2_3,score_2_4,lpi_score,dwell_hours,labour_regime,d3_score,d3_tier,score_3_1,score_3_2,score_3_3,score_3_4,catchment_share_pct,hinterland_count,herfindahl,alt_distance_km,d4_score,d4_tier,score_4_1,score_4_2,score_4_3,score_4_4,wgi_ps,wgi_ge,sanctions_level,dispute_level
1,48190.0,Aden,Yemen,YE,YEM,12.783333,44.95,3.6447,Critical,A,4,D1|D2|D3|D4,0.5344,False,1.523,A,2.5,7.171,0.0,3.0,16.0,3,4,0,0.1,6.737,A,7.0,6.923,5.0,8.5,2.2,120.0,uncertain,2.607,A,5.5,2.0,5.5,0.764,55,1,0.55,237.3,6.597,A,10.7,8.44,3.0,10.0,-2.85,-1.72,sdn_adjacent,active_military
2,45005.0,Baniyas,Syria,SY,SYR,35.188333333,35.943333333,3.1489,Critical,A,4,D1|D2|D3|D4,0.7778,False,1.498,A,2.5,4.736,0.0,4.25,15.5,3,10,0,0.15,5.661,A,7.0,6.987,5.0,4.2,2.2,121.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,32.8,9.851,A,10.56,8.56,10.0,10.0,-2.78,-1.78,comprehensive,active_military
3,10550.0,Nueva Gerona,Cuba,CU,CUB,21.916667,-82.79999999999998,3.1227,Critical,A,4,D1|D2|D3|D4,0.5627,False,5.946,A,10.0,10.0,4.167,3.0,6.4,0,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.523,A,1.2,2.0,8.0,0.28,12,1,0.8,118.7,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
4,10140.0,Caibarien,Cuba,CU,CUB,22.533333333,-79.466666667,2.9731,High,A,4,D1|D2|D3|D4,0.5561,False,5.233,A,10.0,10.0,2.5,3.0,7.0,0,1,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.422,A,1.2,2.0,8.0,0.213,12,1,0.8,102.1,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
5,10050.0,Santa Lucia,Cuba,CU,CUB,22.666666667,-83.966666667,2.9701,High,A,4,D1|D2|D3|D4,0.5767,False,5.623,A,10.0,10.0,3.333,3.0,5.0,0,1,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.318,A,1.2,2.0,8.0,0.157,12,1,0.8,88.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
6,10500.0,Jucaro,Cuba,CU,CUB,21.616667,-78.84999999999998,2.9692,High,A,4,D1|D2|D3|D4,0.5391,False,4.87,A,7.5,10.0,2.5,3.0,9.4,1,1,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.52,A,1.2,2.0,8.0,0.278,12,1,0.8,118.0,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
7,10130.0,Isabela De Sagua,Cuba,CU,CUB,22.95,-80.0,2.9416,High,A,4,D1|D2|D3|D4,0.5545,False,5.061,A,10.0,8.748,2.5,3.0,6.9,0,2,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.409,A,1.2,2.0,8.0,0.205,12,1,0.8,100.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
8,9760.0,Puerto Cabezas,Nicaragua,NI,NIC,14.016667,-83.38333299999998,2.9365,High,A,4,D1|D2|D3|D4,0.5853,False,6.349,A,7.5,10.0,3.333,6.5,10.0,1,1,4,0.25,5.022,A,6.25,6.282,5.0,3.24,2.5,110.0,uncertain,1.973,A,1.2,2.0,8.0,0.789,12,1,0.8,243.3,1.182,A,6.04,4.96,3.0,0.0,-0.52,0.02,sdn_adjacent,none
9,10210.0,Banes,Cuba,CU,CUB,20.916666667,-75.716666667,2.9278,High,A,4,D1|D2|D3|D4,0.6016,False,5.946,A,10.0,10.0,4.167,3.0,7.0,0,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,9.4,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
10,10430.0,Ceiba Hueca,Cuba,CU,CUB,20.216667,-77.31666699999998,2.9085,High,A,4,D1|D2|D3|D4,0.5974,False,5.791,A,7.5,10.0,5.0,3.0,9.4,1,1,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,14.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
11,10420.0,Media Luna,Cuba,CU,CUB,20.15,-77.433333,2.9085,High,A,4,D1|D2|D3|D4,0.5974,False,5.791,A,7.5,10.0,5.0,3.0,9.4,1,1,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,14.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
12,10080.0,Cabanas,Cuba,CU,CUB,23.0,-82.966667,2.9005,High,A,4,D1|D2|D3|D4,0.5958,False,5.727,A,10.0,7.171,5.0,3.0,6.4,0,4,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,20.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
13,10090.0,Mariel,Cuba,CU,CUB,22.983333,-82.75,2.8844,High,A,4,D1|D2|D3|D4,0.5927,False,5.601,A,7.5,8.748,5.0,3.0,10.0,1,2,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,42.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
14,10460.0,Manzanillo,Cuba,CU,CUB,20.35,-77.116667,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,9.4,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,25.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
15,10070.0,Bahia Honda,Cuba,CU,CUB,22.966666667,-83.166666667,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,10.0,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,42.7,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
16,10190.0,Vita,Cuba,CU,CUB,21.1,-75.966666667,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,9.0,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,38.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
17,10240.0,Preston,Cuba,CU,CUB,20.766666667,-75.65,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,8.0,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,6.4,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
18,10120.0,Cardenas,Cuba,CU,CUB,23.05,-81.2,2.8632,High,A,4,D1|D2|D3|D4,0.5891,False,5.438,A,10.0,8.748,3.333,3.0,5.2,0,2,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,35.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
19,62670.0,Tiksi,Russia,RU,RUS,71.644444444,128.890555556,2.8545,High,A,4,D1|D2|D3|D4,0.4629,False,1.903,A,10.0,8.748,0.0,1.5,6.4,0,2,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,3.269,A,1.2,2.0,8.0,5.948,12,1,0.8,1507.3,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
20,9769.0,El Bluff,Nicaragua,NI,NIC,12.0,-83.7,2.8466,High,A,4,D1|D2|D3|D4,0.5615,False,5.737,A,10.0,10.0,1.667,6.5,6.4,0,1,2,0.25,5.022,A,6.25,6.282,5.0,3.24,2.5,110.0,uncertain,1.928,A,1.2,2.0,8.0,0.719,12,1,0.8,226.2,1.182,A,6.04,4.96,3.0,0.0,-0.52,0.02,sdn_adjacent,none
